REF_DATE,GEO,DGUID,Age.at.time.of.death,Sex,Leading.causes.of.death..ICD.10.,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13400,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13573,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13795,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13551,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13934,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13547,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13717,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13761,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13491,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Cerebrovascular diseases [I60-I69],Number of deaths,Number,223,units,0,v41341090,1.1.1.25.2,13915,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,16,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,16,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,16,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,15,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,18,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,19,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,20,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,21,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,24,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,24,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Rank of leading causes of death,Number,223,units,0,v41341091,1.1.1.26.1,25,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,1208,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,1244,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,1335,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,1454,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,1306,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,960,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,842,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,850,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,816,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,764,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,766,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,671,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,708,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,671,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,566,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,570,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,612,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,526,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,531,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,538,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,468,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Atherosclerosis [I70],Number of deaths,Number,223,units,0,v41341092,1.1.1.26.2,471,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,12,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,12,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,12,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,12,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,12,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,13,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,14,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,14,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,17,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,17,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,16,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,18,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,18,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Rank of leading causes of death,Number,223,units,0,v41341093,1.1.1.27.1,18,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1954,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1919,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1870,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1861,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1902,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1791,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1787,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1668,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1564,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1533,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1487,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1386,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1482,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1454,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1483,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1400,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1518,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1601,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1584,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1537,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1544,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Aortic aneurysm and dissection [I71],Number of deaths,Number,223,units,0,v41341094,1.1.1.27.2,1509,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,7,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,7,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,7,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,7,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,6,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,6,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,6,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,7,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,10,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Rank of leading causes of death,Number,223,units,0,v41341095,1.1.1.28.1,8,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,4776,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,4725,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,4957,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5729,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5845,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5152,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5452,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5386,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5826,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5106,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5787,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,5694,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,6551,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,6597,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,7630,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,6235,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,7445,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,8594,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,6945,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,6037,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Influenza and pneumonia [J09-J18],Number of deaths,Number,223,units,0,v41341096,1.1.1.28.2,4115,,NA,NA,0
