Year,Leading_Cause_Death,Ranking,Number_Death
2019,"Complications of medical and surgical care [Y40-Y84, Y88]",28,57
2020,"Complications of medical and surgical care [Y40-Y84, Y88]",29,61
2021,"Complications of medical and surgical care [Y40-Y84, Y88]",29,70
2022,"Complications of medical and surgical care [Y40-Y84, Y88]",27,132
2018,Other causes of death,NA,21978
2019,Other causes of death,NA,22801
2020,Other causes of death,NA,23786
2021,Other causes of death,NA,25351
2022,Other causes of death,NA,30263
2018,"Total, all causes of death [A00-Y89]",NA,11040
2019,"Total, all causes of death [A00-Y89]",NA,11184
2020,"Total, all causes of death [A00-Y89]",NA,11991
2021,"Total, all causes of death [A00-Y89]",NA,11595
2022,"Total, all causes of death [A00-Y89]",NA,12560
2018,Salmonella infections [A01-A02],36,0
2019,Salmonella infections [A01-A02],35,1
2020,Salmonella infections [A01-A02],37,1
2021,Salmonella infections [A01-A02],39,0
2022,Salmonella infections [A01-A02],37,1
2018,"Shigellosis and amoebiasis [A03, A06]",36,0
2019,"Shigellosis and amoebiasis [A03, A06]",39,0
2020,"Shigellosis and amoebiasis [A03, A06]",41,0
2021,"Shigellosis and amoebiasis [A03, A06]",39,0
2022,"Shigellosis and amoebiasis [A03, A06]",39,0
2018,Tuberculosis [A16-A19],27,8
2019,Tuberculosis [A16-A19],32,4
2020,Tuberculosis [A16-A19],29,7
2021,Tuberculosis [A16-A19],30,5
2022,Tuberculosis [A16-A19],27,11
2018,Whooping cough [A37],36,0
2019,Whooping cough [A37],39,0
2020,Whooping cough [A37],41,0
2021,Whooping cough [A37],39,0
2022,Whooping cough [A37],39,0
2018,"Scarlet fever and erysipelas [A38, A46]",36,0
2019,"Scarlet fever and erysipelas [A38, A46]",39,0
2020,"Scarlet fever and erysipelas [A38, A46]",41,0
2021,"Scarlet fever and erysipelas [A38, A46]",39,0
2022,"Scarlet fever and erysipelas [A38, A46]",39,0
2018,Meningococcal infection [A39],36,0
2019,Meningococcal infection [A39],39,0
2020,Meningococcal infection [A39],41,0
2021,Meningococcal infection [A39],36,1
2022,Meningococcal infection [A39],39,0
2018,Sepsis [A40-A41],13,74
2019,Sepsis [A40-A41],14,85
2020,Sepsis [A40-A41],15,81
2021,Sepsis [A40-A41],17,54
2022,Sepsis [A40-A41],14,70
2018,Syphilis [A50-A53],36,0
2019,Syphilis [A50-A53],35,1
2020,Syphilis [A50-A53],37,1
2021,Syphilis [A50-A53],36,1
2022,Syphilis [A50-A53],39,0
2018,Acute poliomyelitis [A80],36,0
2019,Acute poliomyelitis [A80],39,0
2020,Acute poliomyelitis [A80],41,0
2021,Acute poliomyelitis [A80],39,0
2022,Acute poliomyelitis [A80],39,0
2018,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",36,0
2019,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2020,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",41,0
2021,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2022,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2018,Measles [B05],36,0
2019,Measles [B05],39,0
2020,Measles [B05],41,0
2021,Measles [B05],39,0
2022,Measles [B05],39,0
2018,Viral hepatitis [B15-B19],29,6
2019,Viral hepatitis [B15-B19],26,8
2020,Viral hepatitis [B15-B19],30,6
2021,Viral hepatitis [B15-B19],31,4
2022,Viral hepatitis [B15-B19],29,10
2018,Human immunodeficiency virus [HIV] disease [B20-B24],27,8
2019,Human immunodeficiency virus [HIV] disease [B20-B24],32,4
2020,Human immunodeficiency virus [HIV] disease [B20-B24],28,8
2021,Human immunodeficiency virus [HIV] disease [B20-B24],32,3
2022,Human immunodeficiency virus [HIV] disease [B20-B24],31,6
2018,Malaria [B50-B54],36,0
2019,Malaria [B50-B54],39,0
2020,Malaria [B50-B54],41,0
2021,Malaria [B50-B54],39,0
2022,Malaria [B50-B54],39,0
2018,Malignant neoplasms [C00-C97],1,2684
2019,Malignant neoplasms [C00-C97],1,2880
2020,Malignant neoplasms [C00-C97],1,2702
2021,Malignant neoplasms [C00-C97],1,2604
2022,Malignant neoplasms [C00-C97],1,2575
2018,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",14,68
2019,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",13,97
2020,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,68
2021,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",14,70
2022,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,65
2018,Anaemias [D50-D64],21,20
2019,Anaemias [D50-D64],21,23
2020,Anaemias [D50-D64],22,19
2021,Anaemias [D50-D64],24,20
2022,Anaemias [D50-D64],22,28
2018,Diabetes mellitus [E10-E14],6,316
2019,Diabetes mellitus [E10-E14],6,338
2020,Diabetes mellitus [E10-E14],7,324
2021,Diabetes mellitus [E10-E14],7,309
2022,Diabetes mellitus [E10-E14],7,283
2018,Nutritional deficiencies [E40-E64],31,5
2019,Nutritional deficiencies [E40-E64],26,8
2020,Nutritional deficiencies [E40-E64],26,12
2021,Nutritional deficiencies [E40-E64],27,11
2022,Nutritional deficiencies [E40-E64],26,12
2018,"Meningitis [G00, G03]",25,9
2019,"Meningitis [G00, G03]",26,8
2020,"Meningitis [G00, G03]",31,5
2021,"Meningitis [G00, G03]",29,8
2022,"Meningitis [G00, G03]",33,5
2018,Parkinson's disease [G20-G21],11,84
2019,Parkinson's disease [G20-G21],11,106
2020,Parkinson's disease [G20-G21],12,120
2021,Parkinson's disease [G20-G21],11,96
2022,Parkinson's disease [G20-G21],12,94
2018,Alzheimer's disease [G30],12,80
2019,Alzheimer's disease [G30],12,98
2020,Alzheimer's disease [G30],14,87
2021,Alzheimer's disease [G30],15,63
2022,Alzheimer's disease [G30],13,72
2018,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1945
2019,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,2138
2020,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,2149
2021,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,2038
2022,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1988
2018,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",18,47
2019,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",17,65
2020,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",13,96
2021,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",13,80
2022,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",14,70
2018,Cerebrovascular diseases [I60-I69],3,525
2019,Cerebrovascular diseases [I60-I69],3,608
2020,Cerebrovascular diseases [I60-I69],5,509
2021,Cerebrovascular diseases [I60-I69],5,459
2022,Cerebrovascular diseases [I60-I69],5,462
2018,Atherosclerosis [I70],29,6
2019,Atherosclerosis [I70],32,4
2020,Atherosclerosis [I70],32,4
2021,Atherosclerosis [I70],32,3
2022,Atherosclerosis [I70],34,3
2018,Aortic aneurysm and dissection [I71],15,66
2019,Aortic aneurysm and dissection [I71],16,67
2020,Aortic aneurysm and dissection [I71],17,60
2021,Aortic aneurysm and dissection [I71],16,55
2022,Aortic aneurysm and dissection [I71],17,56
2018,Influenza and pneumonia [J09-J18],7,282
2019,Influenza and pneumonia [J09-J18],8,214
2020,Influenza and pneumonia [J09-J18],10,170
2021,Influenza and pneumonia [J09-J18],12,88
2022,Influenza and pneumonia [J09-J18],8,157
2018,Acute bronchitis and bronchiolitis [J20-J21],36,0
2019,Acute bronchitis and bronchiolitis [J20-J21],35,1
2020,Acute bronchitis and bronchiolitis [J20-J21],41,0
2021,Acute bronchitis and bronchiolitis [J20-J21],39,0
2022,Acute bronchitis and bronchiolitis [J20-J21],37,1
2018,Chronic lower respiratory diseases [J40-J47],4,490
2019,Chronic lower respiratory diseases [J40-J47],5,450
2020,Chronic lower respiratory diseases [J40-J47],6,414
2021,Chronic lower respiratory diseases [J40-J47],6,328
2022,Chronic lower respiratory diseases [J40-J47],6,323
2018,"Pneumoconioses and chemical effects [J60-J66, J68]",31,5
2019,"Pneumoconioses and chemical effects [J60-J66, J68]",31,5
2020,"Pneumoconioses and chemical effects [J60-J66, J68]",32,4
2021,"Pneumoconioses and chemical effects [J60-J66, J68]",36,1
2022,"Pneumoconioses and chemical effects [J60-J66, J68]",36,2
2018,Pneumonitis due to solids and liquids [J69],17,48
2019,Pneumonitis due to solids and liquids [J69],18,52
2020,Pneumonitis due to solids and liquids [J69],20,45
2021,Pneumonitis due to solids and liquids [J69],19,46
2022,Pneumonitis due to solids and liquids [J69],20,46
2018,Peptic ulcer [K25-K28],23,18
2019,Peptic ulcer [K25-K28],22,22
2020,Peptic ulcer [K25-K28],23,14
2021,Peptic ulcer [K25-K28],22,28
2022,Peptic ulcer [K25-K28],24,17
2018,Diseases of appendix [K35-K38],35,1
2019,Diseases of appendix [K35-K38],39,0
2020,Diseases of appendix [K35-K38],41,0
2021,Diseases of appendix [K35-K38],32,3
2022,Diseases of appendix [K35-K38],34,3
2018,Hernia [K40-K46],23,18
2019,Hernia [K40-K46],22,22
2020,Hernia [K40-K46],27,10
2021,Hernia [K40-K46],26,15
2022,Hernia [K40-K46],27,11
2018,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,146
2019,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,126
2020,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,176
2021,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,159
2022,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,151
2018,Cholelithiasis and other disorders of gallbladder [K80-K82],21,20
2019,Cholelithiasis and other disorders of gallbladder [K80-K82],24,14
2020,Cholelithiasis and other disorders of gallbladder [K80-K82],23,14
2021,Cholelithiasis and other disorders of gallbladder [K80-K82],25,16
2022,Cholelithiasis and other disorders of gallbladder [K80-K82],24,17
2018,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,143
2019,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,132
2020,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",11,141
2021,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,156
2022,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",11,126
2018,"Infections of kidney [N10-N12, N13.6, N15.1]",34,3
2019,"Infections of kidney [N10-N12, N13.6, N15.1]",29,7
2020,"Infections of kidney [N10-N12, N13.6, N15.1]",32,4
2021,"Infections of kidney [N10-N12, N13.6, N15.1]",32,3
2022,"Infections of kidney [N10-N12, N13.6, N15.1]",31,6
2018,Hyperplasia of prostate [N40],31,5
2019,Hyperplasia of prostate [N40],30,6
2020,Hyperplasia of prostate [N40],32,4
2021,Hyperplasia of prostate [N40],28,9
2022,Hyperplasia of prostate [N40],30,8
2018,Inflammatory diseases of female pelvic organs [N70-N76],36,0
2019,Inflammatory diseases of female pelvic organs [N70-N76],35,1
2020,Inflammatory diseases of female pelvic organs [N70-N76],37,1
2021,Inflammatory diseases of female pelvic organs [N70-N76],39,0
2022,Inflammatory diseases of female pelvic organs [N70-N76],39,0
2018,"Pregnancy, childbirth and the puerperium [O00-O99]",36,0
2019,"Pregnancy, childbirth and the puerperium [O00-O99]",39,0
2020,"Pregnancy, childbirth and the puerperium [O00-O99]",36,2
2021,"Pregnancy, childbirth and the puerperium [O00-O99]",39,0
2022,"Pregnancy, childbirth and the puerperium [O00-O99]",39,0
2018,Certain conditions originating in the perinatal period [P00-P96],20,38
2019,Certain conditions originating in the perinatal period [P00-P96],20,45
2020,Certain conditions originating in the perinatal period [P00-P96],21,35
2021,Certain conditions originating in the perinatal period [P00-P96],21,33
2022,Certain conditions originating in the perinatal period [P00-P96],21,36
2018,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",16,55
2019,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",19,51
2020,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,57
2021,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",20,35
2022,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,52
2018,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2019,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2020,"COVID-19 [U07.1, U07.2, U10.9]",4,551
2021,"COVID-19 [U07.1, U07.2, U10.9]",4,600
2022,"COVID-19 [U07.1, U07.2, U10.9]",3,739
2018,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",5,401
2019,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",4,528
2020,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,700
2021,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,631
2022,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",4,556
2018,"Intentional self-harm (suicide) [X60-X84, Y87.0]",8,192
2019,"Intentional self-harm (suicide) [X60-X84, Y87.0]",7,216
2020,"Intentional self-harm (suicide) [X60-X84, Y87.0]",8,187
2021,"Intentional self-harm (suicide) [X60-X84, Y87.0]",8,160
2022,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,153
2018,"Assault (homicide) [X85-Y09, Y87.1]",19,41
2019,"Assault (homicide) [X85-Y09, Y87.1]",15,71
2020,"Assault (homicide) [X85-Y09, Y87.1]",19,52
2021,"Assault (homicide) [X85-Y09, Y87.1]",17,54
2022,"Assault (homicide) [X85-Y09, Y87.1]",19,50
2018,"Legal intervention [Y35, Y89.0]",36,0
2019,"Legal intervention [Y35, Y89.0]",39,0
2020,"Legal intervention [Y35, Y89.0]",37,1
2021,"Legal intervention [Y35, Y89.0]",39,0
2022,"Legal intervention [Y35, Y89.0]",39,0
2018,"Operations of war and their sequelae [Y36, Y89.1]",36,0
2019,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2020,"Operations of war and their sequelae [Y36, Y89.1]",41,0
2021,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2022,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2018,"Complications of medical and surgical care [Y40-Y84, Y88]",25,9
2019,"Complications of medical and surgical care [Y40-Y84, Y88]",25,10
2020,"Complications of medical and surgical care [Y40-Y84, Y88]",23,14
2021,"Complications of medical and surgical care [Y40-Y84, Y88]",22,28
2022,"Complications of medical and surgical care [Y40-Y84, Y88]",23,20
2018,Other causes of death,NA,3174
2019,Other causes of death,NA,2668
2020,Other causes of death,NA,3136
2021,Other causes of death,NA,3318
2022,Other causes of death,NA,4275
2018,"Total, all causes of death [A00-Y89]",NA,9702
2019,"Total, all causes of death [A00-Y89]",NA,9559
2020,"Total, all causes of death [A00-Y89]",NA,10265
2021,"Total, all causes of death [A00-Y89]",NA,11021
2022,"Total, all causes of death [A00-Y89]",NA,11425
2018,Salmonella infections [A01-A02],37,0
2019,Salmonella infections [A01-A02],41,0
2020,Salmonella infections [A01-A02],39,0
2021,Salmonella infections [A01-A02],39,0
2022,Salmonella infections [A01-A02],39,0
2018,"Shigellosis and amoebiasis [A03, A06]",37,0
2019,"Shigellosis and amoebiasis [A03, A06]",41,0
2020,"Shigellosis and amoebiasis [A03, A06]",39,0
2021,"Shigellosis and amoebiasis [A03, A06]",39,0
2022,"Shigellosis and amoebiasis [A03, A06]",39,0
2018,Tuberculosis [A16-A19],31,3
2019,Tuberculosis [A16-A19],31,4
2020,Tuberculosis [A16-A19],32,4
2021,Tuberculosis [A16-A19],30,9
2022,Tuberculosis [A16-A19],30,4
2018,Whooping cough [A37],37,0
2019,Whooping cough [A37],36,1
2020,Whooping cough [A37],39,0
2021,Whooping cough [A37],39,0
2022,Whooping cough [A37],39,0
2018,"Scarlet fever and erysipelas [A38, A46]",37,0
2019,"Scarlet fever and erysipelas [A38, A46]",41,0
2020,"Scarlet fever and erysipelas [A38, A46]",39,0
2021,"Scarlet fever and erysipelas [A38, A46]",39,0
2022,"Scarlet fever and erysipelas [A38, A46]",39,0
2018,Meningococcal infection [A39],37,0
2019,Meningococcal infection [A39],41,0
2020,Meningococcal infection [A39],39,0
2021,Meningococcal infection [A39],39,0
2022,Meningococcal infection [A39],39,0
2018,Sepsis [A40-A41],13,95
2019,Sepsis [A40-A41],12,90
2020,Sepsis [A40-A41],15,90
2021,Sepsis [A40-A41],14,86
2022,Sepsis [A40-A41],13,94
2018,Syphilis [A50-A53],37,0
2019,Syphilis [A50-A53],41,0
2020,Syphilis [A50-A53],37,1
2021,Syphilis [A50-A53],35,1
2022,Syphilis [A50-A53],34,1
2018,Acute poliomyelitis [A80],37,0
2019,Acute poliomyelitis [A80],41,0
2020,Acute poliomyelitis [A80],39,0
2021,Acute poliomyelitis [A80],39,0
2022,Acute poliomyelitis [A80],39,0
2018,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",37,0
2019,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",41,0
2020,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2021,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2022,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2018,Measles [B05],37,0
2019,Measles [B05],36,1
2020,Measles [B05],39,0
2021,Measles [B05],39,0
2022,Measles [B05],39,0
2018,Viral hepatitis [B15-B19],26,9
2019,Viral hepatitis [B15-B19],27,10
2020,Viral hepatitis [B15-B19],29,6
2021,Viral hepatitis [B15-B19],32,6
2022,Viral hepatitis [B15-B19],32,3
2018,Human immunodeficiency virus [HIV] disease [B20-B24],22,14
2019,Human immunodeficiency virus [HIV] disease [B20-B24],28,7
2020,Human immunodeficiency virus [HIV] disease [B20-B24],28,9
2021,Human immunodeficiency virus [HIV] disease [B20-B24],28,10
2022,Human immunodeficiency virus [HIV] disease [B20-B24],25,12
2018,Malaria [B50-B54],37,0
2019,Malaria [B50-B54],41,0
2020,Malaria [B50-B54],39,0
2021,Malaria [B50-B54],39,0
2022,Malaria [B50-B54],39,0
2018,Malignant neoplasms [C00-C97],1,2361
2019,Malignant neoplasms [C00-C97],1,2335
2020,Malignant neoplasms [C00-C97],1,2438
2021,Malignant neoplasms [C00-C97],1,2463
2022,Malignant neoplasms [C00-C97],1,2384
2018,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,78
2019,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,70
2020,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,83
2021,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,81
2022,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,63
2018,Anaemias [D50-D64],20,28
2019,Anaemias [D50-D64],22,16
2020,Anaemias [D50-D64],22,25
2021,Anaemias [D50-D64],21,23
2022,Anaemias [D50-D64],20,31
2018,Diabetes mellitus [E10-E14],6,334
2019,Diabetes mellitus [E10-E14],5,386
2020,Diabetes mellitus [E10-E14],6,395
2021,Diabetes mellitus [E10-E14],6,395
2022,Diabetes mellitus [E10-E14],7,369
2018,Nutritional deficiencies [E40-E64],31,3
2019,Nutritional deficiencies [E40-E64],30,5
2020,Nutritional deficiencies [E40-E64],32,4
2021,Nutritional deficiencies [E40-E64],31,7
2022,Nutritional deficiencies [E40-E64],25,12
2018,"Meningitis [G00, G03]",31,3
2019,"Meningitis [G00, G03]",36,1
2020,"Meningitis [G00, G03]",35,3
2021,"Meningitis [G00, G03]",39,0
2022,"Meningitis [G00, G03]",34,1
2018,Parkinson's disease [G20-G21],14,81
2019,Parkinson's disease [G20-G21],13,83
2020,Parkinson's disease [G20-G21],13,96
2021,Parkinson's disease [G20-G21],13,98
2022,Parkinson's disease [G20-G21],14,92
2018,Alzheimer's disease [G30],12,100
2019,Alzheimer's disease [G30],14,79
2020,Alzheimer's disease [G30],14,91
2021,Alzheimer's disease [G30],16,70
2022,Alzheimer's disease [G30],15,83
2018,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,2051
2019,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1858
2020,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1959
2021,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1986
2022,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1869
2018,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",11,109
2019,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",11,96
2020,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",11,139
2021,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",11,136
2022,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",10,170
2018,Cerebrovascular diseases [I60-I69],5,401
2019,Cerebrovascular diseases [I60-I69],6,376
2020,Cerebrovascular diseases [I60-I69],5,423
2021,Cerebrovascular diseases [I60-I69],5,457
2022,Cerebrovascular diseases [I60-I69],6,455
2018,Atherosclerosis [I70],22,14
2019,Atherosclerosis [I70],25,13
2020,Atherosclerosis [I70],26,10
2021,Atherosclerosis [I70],22,21
2022,Atherosclerosis [I70],22,25
2018,Aortic aneurysm and dissection [I71],16,54
2019,Aortic aneurysm and dissection [I71],16,50
2020,Aortic aneurysm and dissection [I71],20,42
2021,Aortic aneurysm and dissection [I71],18,36
2022,Aortic aneurysm and dissection [I71],17,47
2018,Influenza and pneumonia [J09-J18],7,253
2019,Influenza and pneumonia [J09-J18],7,207
2020,Influenza and pneumonia [J09-J18],8,178
2021,Influenza and pneumonia [J09-J18],12,129
2022,Influenza and pneumonia [J09-J18],11,160
2018,Acute bronchitis and bronchiolitis [J20-J21],37,0
2019,Acute bronchitis and bronchiolitis [J20-J21],41,0
2020,Acute bronchitis and bronchiolitis [J20-J21],37,1
2021,Acute bronchitis and bronchiolitis [J20-J21],39,0
2022,Acute bronchitis and bronchiolitis [J20-J21],34,1
2018,Chronic lower respiratory diseases [J40-J47],4,456
2019,Chronic lower respiratory diseases [J40-J47],4,434
2020,Chronic lower respiratory diseases [J40-J47],4,448
2021,Chronic lower respiratory diseases [J40-J47],7,386
2022,Chronic lower respiratory diseases [J40-J47],5,479
2018,"Pneumoconioses and chemical effects [J60-J66, J68]",29,4
2019,"Pneumoconioses and chemical effects [J60-J66, J68]",36,1
2020,"Pneumoconioses and chemical effects [J60-J66, J68]",30,5
2021,"Pneumoconioses and chemical effects [J60-J66, J68]",33,5
2022,"Pneumoconioses and chemical effects [J60-J66, J68]",29,5
2018,Pneumonitis due to solids and liquids [J69],18,38
2019,Pneumonitis due to solids and liquids [J69],19,39
2020,Pneumonitis due to solids and liquids [J69],21,31
2021,Pneumonitis due to solids and liquids [J69],18,36
2022,Pneumonitis due to solids and liquids [J69],19,39
2018,Peptic ulcer [K25-K28],25,11
2019,Peptic ulcer [K25-K28],23,14
2020,Peptic ulcer [K25-K28],24,15
2021,Peptic ulcer [K25-K28],25,16
2022,Peptic ulcer [K25-K28],27,10
2018,Diseases of appendix [K35-K38],35,1
2019,Diseases of appendix [K35-K38],33,2
2020,Diseases of appendix [K35-K38],39,0
2021,Diseases of appendix [K35-K38],35,1
2022,Diseases of appendix [K35-K38],39,0
2018,Hernia [K40-K46],24,13
2019,Hernia [K40-K46],21,18
2020,Hernia [K40-K46],24,15
2021,Hernia [K40-K46],26,15
2022,Hernia [K40-K46],27,10
2018,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,112
2019,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,119
2020,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,151
2021,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,201
2022,"Chronic liver disease and cirrhosis [K70, K73-K74]",12,150
2018,Cholelithiasis and other disorders of gallbladder [K80-K82],29,4
2019,Cholelithiasis and other disorders of gallbladder [K80-K82],23,14
2020,Cholelithiasis and other disorders of gallbladder [K80-K82],23,19
2021,Cholelithiasis and other disorders of gallbladder [K80-K82],23,18
2022,Cholelithiasis and other disorders of gallbladder [K80-K82],24,15
2018,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,154
2019,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,154
2020,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,163
2021,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,156
2022,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",8,185
2018,"Infections of kidney [N10-N12, N13.6, N15.1]",34,2
2019,"Infections of kidney [N10-N12, N13.6, N15.1]",33,2
2020,"Infections of kidney [N10-N12, N13.6, N15.1]",36,2
2021,"Infections of kidney [N10-N12, N13.6, N15.1]",34,2
2022,"Infections of kidney [N10-N12, N13.6, N15.1]",34,1
2018,Hyperplasia of prostate [N40],27,6
2019,Hyperplasia of prostate [N40],28,7
2020,Hyperplasia of prostate [N40],30,5
2021,Hyperplasia of prostate [N40],28,10
2022,Hyperplasia of prostate [N40],30,4
2018,Inflammatory diseases of female pelvic organs [N70-N76],35,1
2019,Inflammatory diseases of female pelvic organs [N70-N76],36,1
2020,Inflammatory diseases of female pelvic organs [N70-N76],39,0
2021,Inflammatory diseases of female pelvic organs [N70-N76],35,1
2022,Inflammatory diseases of female pelvic organs [N70-N76],33,2
2018,"Pregnancy, childbirth and the puerperium [O00-O99]",37,0
2019,"Pregnancy, childbirth and the puerperium [O00-O99]",32,3
2020,"Pregnancy, childbirth and the puerperium [O00-O99]",32,4
2021,"Pregnancy, childbirth and the puerperium [O00-O99]",35,1
2022,"Pregnancy, childbirth and the puerperium [O00-O99]",39,0
2018,Certain conditions originating in the perinatal period [P00-P96],19,32
2019,Certain conditions originating in the perinatal period [P00-P96],18,43
2020,Certain conditions originating in the perinatal period [P00-P96],19,46
2021,Certain conditions originating in the perinatal period [P00-P96],17,46
2022,Certain conditions originating in the perinatal period [P00-P96],20,31
2018,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",17,52
2019,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",19,39
2020,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,53
2021,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",20,34
2022,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,45
2018,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2019,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2020,"COVID-19 [U07.1, U07.2, U10.9]",12,137
2021,"COVID-19 [U07.1, U07.2, U10.9]",4,710
2022,"COVID-19 [U07.1, U07.2, U10.9]",3,675
2018,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,550
2019,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,568
2020,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,713
2021,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,852
2022,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",4,518
2018,"Intentional self-harm (suicide) [X60-X84, Y87.0]",8,231
2019,"Intentional self-harm (suicide) [X60-X84, Y87.0]",8,195
2020,"Intentional self-harm (suicide) [X60-X84, Y87.0]",7,198
2021,"Intentional self-harm (suicide) [X60-X84, Y87.0]",8,203
2022,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,171
2018,"Assault (homicide) [X85-Y09, Y87.1]",21,21
2019,"Assault (homicide) [X85-Y09, Y87.1]",17,47
2020,"Assault (homicide) [X85-Y09, Y87.1]",17,59
